,gamma,p
0,0,0.
1,1000,12.760708637528028
2,2000,25.329489431241864
3,3000,37.687312784263526
4,4000,49.80871227096787
5,5000,61.664356997350644
6,6000,73.22326101279083
7,7000,84.45399239207096
8,8000,95.32657487266958
9,9000,105.81314586102172
10,10000,115.88879703297548
11,11000,125.53204681723133
12,12000,134.72532076216942
13,13000,143.45490053990807
14,14000,151.71111773262447
15,15000,159.48810346184268
16,16000,166.78377680640006
17,17000,173.5994620769914
18,18000,179.93963970750528
19,19000,185.81165315339405
20,20000,191.2252768710999
21,21000,196.1925194456348
22,22000,200.7271825097616
23,23000,204.84438891207125
24,24000,208.56065420603144
25,25000,211.89315170332716
26,26000,214.859738793421
27,27000,217.4786812261217
28,28000,219.76837415729236
29,29000,221.7471352932333
30,30000,223.43319709824203
31,31000,224.84436670023587
32,32000,225.99821708667525
33,33000,226.91153405772306
34,34000,227.60074188120007
35,35000,228.08152637337065
36,36000,228.36900559369428
37,37000,228.47751962784392
38,38000,228.42068659394303
39,39000,228.21146827820172
40,40000,227.86217746495385
41,41000,227.38423984661188
42,42000,226.78850295356648
43,43000,226.0851833504254
44,44000,225.2838557224036
45,45000,224.39334767793957
46,46000,223.4220659604978
47,47000,222.377764542255
48,48000,221.26764242221583
49,49000,220.09839666531062
50,50000,218.87625879472995
51,51000,217.60705354673715
52,52000,216.2961047615652
53,53000,214.94836531464128
54,54000,213.56837577684524
55,55000,212.16044751283297
56,56000,210.72838012530912
57,57000,209.27577915867332
58,58000,207.80593117823946
59,59000,206.321904072342
60,60000,204.82646847465375
61,61000,203.32214409143324
62,62000,201.81131294045147
63,63000,200.29604921024375
64,64000,198.77835791850535
65,65000,197.26004143439187
66,66000,195.7427307602675
67,67000,194.22781489140212
68,68000,192.71674164214946
69,69000,191.21071813261196
70,70000,189.71080935578698
71,71000,188.2180397900137
72,72000,186.7333540621496
73,73000,185.2574244261633
74,74000,183.79110195542472
75,75000,182.33497516944766
76,76000,180.8896225670333
77,77000,179.45557270280815
78,78000,178.0333253531163
79,79000,176.62326252744123
80,80000,175.2256942985395
81,81000,173.8409055583957
82,82000,172.46921202645416
83,83000,171.11081859959418
84,84000,169.7658485235921
85,85000,168.43457495033357
86,86000,167.11699770160118
87,87000,165.81331496934868
88,88000,164.52338423712263
89,89000,163.24764932619365
90,90000,161.98555684834054
91,91000,160.73766113134616
92,92000,159.50386258044017
93,93000,158.28384286737827
94,94000,157.07747491848045
95,95000,155.8851744846607
96,96000,154.70667593483705
97,97000,153.54190584721437
98,98000,152.3905877093753
99,99000,151.25289012152135
